"DATASET_ID","PROVIDER_ID","SHORT_NAME","LONG_NAME","ORIGINAL_PROVIDER","PROVIDER_DATASET_NAME","PROCESSING_LEVEL","REGION","REGION_DETAIL","LATITUDE_RESOLUTION","LONGITUDE_RESOLUTION","HORIZONTAL_RESOLUTION_RANGE","ALTITUDE_RESOLUTION","DEPTH_RESOLUTION","TEMPORAL_RESOLUTION","TEMPORAL_RESOLUTION_RANGE","ELLIPSOID_TYPE","PROJECTION_TYPE","PROJECTION_DETAIL","REFERENCE"
"135","1","NSCAT LEVEL 0 (V0)","NSCAT Non-redundant Raw Data Level 0 (Version 0)","NASA/JPL/PODAAC","NSCAT Level 0 Non-redundant Raw Data","0","Global","none","N/A","N/A","none","none","none","Orbit","none","none","none","none","none"
"143","1","NSCAT LEVEL 1 (V1)","NSCAT Level 1 Engineering Data Record (Version 1)","NASA/JPL/PODAAC","NSCAT Level 1 Engineering Data Record","1A","Global","none","N/A","N/A","none","none","none","Orbit","none","none","none","none","none"
"138","1","NSCAT LEVEL 1.7 (V0)","NSCAT Level 1.7 SDR, Sigma-0 Cells (Version 0)","NASA/JPL/PODAAC","NSCAT Level 1.7 Science Data Record, Swath-binned Sigma-0 Cells","2","Global Ocean","none","50","50","none","none","none","Orbit","none","none","none","none","none"
"129","1","NSCAT LEVEL 2","NSCAT Level 2 GDR, Ocean Wind Vectors (JPL)","NASA/JPL/PODAAC","NSCAT Level 2 Near-surface Ocean Wind Vector Geophysical Data Record","2","Global Ocean","none","50","50","none","none","none","Orbit","none","none","none","none","none"
"146","1","NSCAT LEVEL 2 (V1)","NSCAT Level 2 GDR, Ocean Wind Vectors (Version 1)","NASA/JPL/PODAAC","NSCAT Level 2 Near-surface Ocean Wind Vector Geophysical Data Record","2","Global Ocean","none","50","50","none","none","none","Orbit","none","none","none","none","none"
"140","1","NSCAT LEVEL 3 (V0)","NSCAT Level 3 Daily Gridded Ocean Wind Vectors (Version 0)","NASA/JPL/PODAAC","NSCAT Level 3 Daily Gridded Near-surface Ocean Wind Vectors","3","Global Ocean","none","0.5","0.5","none","none","none","Daily","none","none","none","none","none"
"106","1","PODAAC_MGDR","DETAILED TOPEX/POSEIDON ALTIMETER MERGED GEOPHYSICAL DATA RECORD GENERATION B","TOPEX/POSEIDON","TOPEX/POSEIDON ALTIMETER MERGED GEOPHYSICAL DATA RECORD GENERATION B","2","Global","none","3.7","4.5","none","none","none","1 Second","10 Hz","none","Swath","none","none"
"181","1","Product114","NCEP Reynolds Sea Surface 1 degree Temperature Climatology (Reynolds)","DOC/NOAA/NWS/NCEP","none","4","GLOBAL OCEAN","none","111","111","none","none","none","Monthly","none","none","none","none","http://www.emc.ncep.noaa.gov/research/cmb/sst_analysis/"
"184","1","Product124","SeaWinds on ADEOS-II Enhanced Resolution Regionally Gridded Sigma-0 (BYU, D. Long)","BYU/SCP","SeaWinds on ADEOS-II Enhanced Resolution Regionally Gridded Sigma-0 (BYU, D. Long)","3","Regional","none","0.02, 0.0405","0.02, 0.0405","none","none","none","Daily","none","none","none","none","none"
"77","18","QSCAT_LEVEL_1A","SeaWinds on QuikSCAT Level 1A Engineering Unit Converted Telemetry (JPL)","SeaPAC","QSCATL1A","1A","Global","none","N/A","N/A","none","none","none","Orbit","none","none","none","none","none"
"144","1","NSCAT LEVEL 1.5 (V1)","NSCAT Level 1.5 SDR, Geo-located Sigma-0 Cells (Version 1)","NASA/JPL/PODAAC","NSCAT Level 1.5 Science Data Record, Geo-located Sigma-0 Cells","1B","Global","none","25","25","none","none","none","Orbit","none","none","none","none","none"
"145","1","NSCAT LEVEL 1.7 (V1)","NSCAT Level 1.7 SDR, Sigma-0 Cells (Version 1)","NASA/JPL/PODAAC","NSCAT Level 1.7 Science Data Record, Swath-binned Sigma-0 Cells","2","Global Ocean","none","50","50","none","none","none","Orbit","none","none","none","none","none"
"147","1","NSCAT LEVEL 3 (V1)","NSCAT Level 3 Daily Gridded Ocean Wind Vectors (Version 1)","NASA/JPL/PODAAC","NSCAT Level 3 Daily Gridded Near-surface Ocean Wind Vectors","3","Global Ocean","none","0.5","0.5","none","none","none","Daily","none","none","none","none","none"
"149","1","NSCAT 25KM (V1)","NSCAT High-Resolution MGDR, Sigma-0 and Ocean Wind Vectors (Version 1)","NASA/JPL/PODAAC","NSCAT Level 2.5 High-Resolution Merged Geophysical Data Record, Sigma-0 and Ocean Wind Vectors","2","Global Ocean","none","25","25","none","none","none","Orbit","none","none","none","none","none"
"151","1","ERS1 VALUEADDED GDR","Detailed - ERS-1 Altimeter Value Added GDR (JPL, UTCSR, OSU)","NASA/JPL/PODAAC","none","2","Global Ocean","none","UNKNOWN","UNKNOWN","none","none","none","1 second","none","none","none","none","none"
"152","1","PODAAC_TPSSA","Detailed - Topex/Poseidon Sea Surface Anomaly (JPL)","NASA/JPL/PODAAC","Topex/Poseidon Sea Surface Anomaly","2","Global Ocean","none","3.7","4.5","none","none","none","1 second","none","none","none","Swath","none"
"158","1","SEAWINDS LEVEL 2A","Detailed SeaWinds Level 2A","","","2A ","UNKNOWN","","UNKNOWN","UNKNOWN","","","","","","","","",""
"159","1","SEAWINDS LEVEL 2B","Detailed SeaWinds Level 2B","","","2B ","UNKNOWN","","UNKNOWN","UNKNOWN","","","","","","","","",""
"161","1","TOPEX_SSHA_V2","Detailed TOPEX/POSEIDON Altimeter Sea Surface Height Anomaly","NASA/JPL/PODAAC","TOPEX/POSEIDON Altimeter Sea Surface Height Anomaly","2","Global Ocean","none","3.7","4.5","none","none","none","1 Second","none","none","Swath","none","none"
"162","1","TOPEX_SSHA_ATG_V2","Detailed TOPEX/POSEIDON Altimeter Along Track Gridded Sea Surface Height Anomaly","NASA/JPL/PODAAC","TOPEX/POSEIDON Altimeter Along Track Gridded Sea Surface Height Anomaly","2","Global Ocean","none","3.7","4.5","none","none","none","1 Second","none","none","Swath","none","none"
"163","1","AMSR LEVEL 1A","Archive Inventory - ADEOS-II AMSR Passive Microwave L1A Data","","","1A ","UNKNOWN","","UNKNOWN","UNKNOWN","","","","","","","","",""
"164","1","SIGBRW SEAWINDS DATA","SeaWinds on ADEOS-II Daily Sigma-0 Browse Images (BYU, D. Long)","BYU/SCP","SeaWinds on ADEOS-II Daily Sigma-0 Browse Images (BYU, D. Long)","3","Global, Arctic, Antarctica, Polar","none","0.2005","0.2005","none","none","none","Daily","none","none","none","none","none"
"165","1","QSCAT STRESS LEVEL 3","SeaWinds on QuikSCAT Level 3 Derived Multialgorithm Wind Stress (JPL)","SeaPAC","SeaWinds on QuikSCAT Level 3 Derived Multialgorithm Wind Stress","3","Global Ocean","none","0.25","0.25","none","none","none","Twice Daily","none","none","none","none","none"
"166","1","QSCAT STRESS LEVEL 2B","SeaWinds on QuikSCAT Level 2B Derived Multialgorithm Wind Stress (JPL)","SeaPAC","SeaWinds on QuikSCAT Level 2B Derived Multialgorithm Wind Stress (JPL)","2","Global Ocean","none","25","25","none","none","none","Orbit","none","none","none","none","none"
"91","1","SEASAT ALTIMETER 2","X-SEASAT ALTIMETER GEOPHYSICAL DATA RECORD LEVEL 2 ""78","NASA/JPL/PODAAC","SEASAT ALTIMETER GEOPHYSICAL DATA RECORD LEVEL 2 ""78","2","Global","none","2.2","6.7","none","none","none","none","1 Second","none","Swath","none","none"
"153","18","SEAWINDS ANCILLARY","SeaWinds on ADEOS-II Ancillary Data (JPL)","SeaPAC","SeaWinds on ADEOS-II Ancillary Data Record","none","N/A","none","N/A","N/A","none","none","none","N/A","none","none","none","none","none"
"155","18","SEAWINDS LEVEL 0","SeaWinds on ADEOS-II Level 0 Pre-processed Telemetry Frames (JPL)","SeaPAC","SeaWinds on ADEOS-II Level 0 Pre-processed Telemetry Frames","0","Global","none","N/A","N/A","none","none","none","Orbit","none","none","none","none","none"
"156","18","SEAWINDS LEVEL 1A","SeaWinds on ADEOS-II Level 1A Engineering Data Record (JPL)","SeaPAC","SeaWinds on ADEOS-II Level 1A Engineering Data Record","1A","Global","none","N/A","N/A","none","none","none","Orbit","none","none","none","none","none"
"157","18","SEAWINDS LEVEL 1B","SeaWinds on ADEOS-II Level 1B Geo-located Sigma-0, Science Data Record (JPL)","SeaPAC","SeaWinds on ADEOS-II Level 1B Geo-located Sigma-0, Science Data Record","1B","Global","none","N/A","N/A","none","none","none","Orbit","none","none","none","none","none"
"160","1","SEAWINDS LEVEL 3","SeaWinds on ADEOS-II Level 3 Gridded Ocean Wind Vectors (JPL)","SeaPAC","SeaWinds on ADEOS-II Level 3 Gridded Ocean Wind Vectors","3","Global Ocean","none","0.25","0.25","none","none","none","Twice Daily","none","none","none","none","none"
"170","18","SEAWINDS LEVEL 3 AMSR","SeaWinds on ADEOS-II L3 Ocean Wind Vectors w/AMSR corrections (JPL)","SeaPAC","SeaWinds on ADEOS-II Level 3 Gridded Ocean Near-surface Ocean Wind Vectors with AMSR Corrections","3","Global Ocean","none","0.25","0.25","none","none","none","Twice Daily","none","none","none","none","none"
"154","18","SEAWINDS RAW TELEMETRY","SeaWinds on ADEOS-II Raw Level 0 Telemetry Data from Ground Stations (JPL)","SeaPAC","SeaWinds on ADEOS-II Raw Level 0 Telemetry Data from Ground Stations","0","Global","none","N/A","N/A","none","none","none","Orbit","none","none","none","none","none"
"119","13","WAF DEALIASED SASS","SEASAT SCATTEROMETER DEALIASED OCEAN WIND VECTORS (Wentz et al.)","REMSS","SEASAT SCATTEROMETER DEALIASED OCEAN WIND VECTORS (Wentz et al.)","2","Global Ocean","none","100","100","none","none","none","Orbit","none","none","none","none","none"
"133","13","mip08pam","SSM/I Pathfinder DMSP F8 Gridded Pentad Atmospheric Moisture Product","REMSS","SSM/I Pathfinder DMSP F8 Gridded Pentad Atmospheric Moisture Product","3","Global Ocean","none","1.0","1.0","none","none","none","5 Days","none","none","none","none","none"
